,shap_values_$\log_{10} (P_{\text{sat}})$,shap_values_$\log_{10} (K_{\text{W}/\text{G}})$,shap_values_$\log_{10} (K_{\text{WIOM}/\text{G}})$,avg_all_targets
aromatic CH (1),0.0019322297711955,0.0014185558325833,0.0016186448047921,0.0016564768028569665
MACCS key 80,0.0010832061797695,0.0021409481988886,0.0014961566315404,0.0015734370033995
MACCS key 28,0.0016041148904897,0.0015979659891364,0.0011833802953491,0.0014618203916584
MACCS key 15,0.0014195160452911,0.0023719797944958,0.000483592643535,0.0014250294944406336
ether (2+),0.0013272850508997,0.0014770998450879,0.0011228058284145,0.0013090635748007
C=C (non-aromatic) (2+),0.0010169417051775,0.0018396956913558,0.0006794104143591,0.0011786826036308
MACCS key 58,0.0012093216063399,0.0015815675053349,0.0004449088967216,0.0010785993361321334
MACCS key 55,0.0012083907549665,0.0015755338146627,0.0004516754723782,0.0010785333473357999
peroxy nitrate (1),0.000312264232315,0.0005862101019551,0.0004252565492821,0.0004412436278507333
MACCS key 21,0.0001784505509547,0.0003925484603489,0.0002255680872667,0.00026552236619009997
MACCS key 40,0.0001506761962799,0.0003476139007854,0.0001339664914607,0.0002107521961753333
MACCS key 100,5.206609156662863e-05,0.0001146757246018,9.24674262719148e-05,8.64030808134478e-05
MACCS key 39,5.702690739140491e-05,4.083439663851863e-05,5.1957837442986685e-05,4.993971382430341e-05
