,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
452,C6NO3CO5OH,CC(CC(=O)C(C)ON(=O)=O)O,,C6H11NO5,177.16,UNKNOWN,N/A,6,11,1,5,0,0,0,23,0.83,-1,0,1,0,1,0,0,0,0,1,0,0,0,3,1.49,5.75,1.26,0.81,0.31,0.62,7.3,7.54,8.32,8.29,6.78,4.63,1.59E-03,1.15,1.99E+03
453,PETLMUCOOH,CCC(=O)C(C(C1(C)C(C=O)O1)O)OO,,C9H14O6,218.2,PETHTOL,2,9,14,0,6,0,0,0,29,0.67,-0.22,0,1,1,1,0,0,1,0,0,0,0,1,5,1.98,7.94,1.53,1.86,0.5,1.2,10.5,15.08,10.26,12.29,9.46,7.9,2.96E-06,1.3,5.66E+02
454,HMVKBOOH,CC(=O)C(CO)OO,,C4H8O4,120.1,UNKNOWN,N/A,4,8,0,4,0,0,0,16,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,1.3,4.48,0.86,1.23,0.54,0.71,6.7,10.59,7.23,8.69,6.27,6.46,1.97E-03,2.96,2.34E+01
455,MC5DICARB,CC(=CC=O)C(=O)C,,C6H8O2,112.13,UNKNOWN,N/A,6,8,0,2,0,0,0,16,0.33,-0.67,0,0,1,1,0,0,0,0,0,0,0,0,2,1.27,4.13,0.94,0.71,0,0.58,4.7,5.39,6.31,6.33,5.33,4.82,6.05E-02,0.84,3.31E+01
456,HO1C6OOH,CCC(CCCO)OO,,C6H14O3,134.17,UNKNOWN,N/A,6,14,0,3,0,0,0,23,0.5,-1.33,0,1,0,0,0,0,0,0,0,0,0,1,2,0.87,4.67,1.13,0.83,0.63,0.45,6.6,7.45,7.77,7.95,6.81,6.55,4.82E-04,3.51,7.84E+01
457,HO2M2C4OOH,CC(C)(CCOO)O,,C5H12O3,120.15,UNKNOWN,N/A,5,12,0,3,0,0,0,20,0.6,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,0.82,3.96,0.99,0.84,0.63,0.43,6,7.39,6.08,6.11,6.62,7.01,8.03E-04,3.25,1.62E+01
458,PRNO3CO3H,CC(C(=O)OO)ON(=O)=O,,C3H5NO6,151.07,UNKNOWN,N/A,3,5,1,6,0,0,0,15,2,0.67,0,0,0,0,0,0,0,0,1,0,1,0,2,1.4,4.28,0.9,0.79,0.31,0.47,5.9,7.44,7.02,6.38,5.28,3.5,5.19E-01,0.11,8.09E+01
459,METHTOL,CCc1cccc(C)c1,,C9H12,120.19,METHTOL,0,9,12,0,0,0,0,0,21,0,-1.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.58,4.4,1.14,0.12,0,0.6,3.9,0.64,3.89,0.37,4.53,0.79,2.12E-01,1.52,1.01E+05
460,C1311OOH,C=C(CCC=O)C1(CC(C)(C)C1CCO)OO,,C13H22O4,242.31,BCARY,1,13,22,0,4,0,0,0,39,0.31,-1.08,0,1,1,0,0,0,0,0,0,0,0,1,3,1.41,8.4,1.98,1.26,0.63,0.96,10.6,10.47,11.69,10.57,10.89,9.47,5.65E-08,2.49,7.98E+02
461,C511PAN,CC(=O)C(CC=O)C(=O)OON(=O)=O,,C6H7NO7,205.12,LIMONENE,3,6,7,1,7,0,0,0,21,1.17,0.33,0,0,1,1,0,0,0,0,0,1,0,0,3,2.18,6.47,1.29,1.12,0,0.71,7.9,9.58,8.97,9.33,6.63,3.3,4.85E-03,0.52,1.38E+04
462,CHOC2H4OOH,C(C=O)COO,,C3H6O3,90.08,UNKNOWN,N/A,3,6,0,3,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.15,3.3,0.66,0.81,0.31,0.48,4.8,7.14,5.87,7.1,5.71,6.57,6.43E-03,3.46,5.60E+00
463,PRNOCOMOOH,CC(=O)COC(=O)COO,,C5H8O5,148.11,BOX2PROL,3,5,8,0,5,0,0,0,18,1,0.4,0,0,0,1,0,1,0,0,0,0,0,1,3,1.5,4.77,1.02,1.16,0.31,0.52,6.6,9.48,8.06,8.73,7.79,7.3,7.41E-05,2.4,9.16E+01
464,C5DICAROOH,CC(=O)C(C(C=O)O)OO,,C5H8O5,148.11,UNKNOWN,N/A,5,8,0,5,0,0,0,18,1,0.4,0,1,1,1,0,0,0,0,0,0,0,1,4,1.62,5.07,1.02,1.54,0.4,0.87,7.4,12.17,8.4,10.49,7.62,7.73,1.07E-04,2.46,2.35E+01
465,C127OH,C=C(CCO)C1(CC(C)(C)C1CC=O)O,,C12H20O3,212.29,BCARY,2,12,20,0,3,0,0,0,35,0.25,-1.17,0,2,1,0,0,0,0,0,0,0,0,0,3,1.25,7.53,1.78,1.04,0.63,0.92,9.6,9.08,10.62,10.23,7.79,5.91,1.09E-04,1.64,1.51E+03
466,C3M3CHONO3,CC(C)(CC=O)ON(=O)=O,,C5H9NO4,147.13,UNKNOWN,N/A,5,9,1,4,0,0,0,19,0.8,-1.2,0,0,1,0,0,0,0,0,1,0,0,0,2,1.24,4.44,1.06,0.49,0,0.41,4.9,4.05,5.8,4.57,4.82,2.6,1.76E-01,0.94,1.92E+03
467,C145OOH,CC(=O)CCC(=O)C(C)(C)CC(=O)C(CCO)(CO)OO,,C14H24O7,304.34,BCARY,2,14,24,0,7,0,0,0,45,0.5,-0.71,0,2,0,3,0,0,0,0,0,0,0,1,6,2.48,11.13,2.36,2.18,0.85,1.27,15,18.56,14.92,17.07,13.47,13.64,6.08E-11,6.07,5.13E+01
468,C918OOH,CC1(C)C(CC1OO)C(=O)CC=O,,C9H14O4,186.21,BPINENE,2,9,14,0,4,0,0,0,27,0.44,-0.67,0,0,1,1,0,0,0,0,0,0,0,1,3,1.66,6.7,1.42,1.2,0.31,0.9,8.4,9.98,8.72,9.27,9.18,8.44,4.26E-06,1.7,1.13E+02
469,ENCATECH,CCc1ccc(c(c1O)O)N(=O)=O,,C8H9NO4,183.16,EBENZ,3,8,9,1,4,0,0,0,22,0.5,-0.75,1,2,0,0,0,0,0,1,0,0,0,0,3,1.36,6.48,1.29,0.5,0.58,1.12,8.2,7.03,11.65,9.09,7.26,3.67,1.42E-03,0.42,2.00E+04
470,C3ME3PAN,CC(C)CC(=O)OON(=O)=O,,C5H9NO5,163.13,ME3BUOL,2,5,9,1,5,0,0,0,20,1,-0.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1.13,4.43,1.12,0.52,0,0.26,4.8,3.83,5.68,3.62,4.01,-0.42,1.27E+00,0.83,2.73E+05
471,BPINAOOH,CC1(C)C2CCC(CO)(C1C2)OO,,C10H18O3,186.25,BPINENE,1,10,18,0,3,0,0,0,31,0.3,-1.2,0,1,0,0,0,0,0,0,0,0,0,1,2,0.86,6.54,1.48,0.99,0.54,0.88,7.9,7.99,8.23,6.58,8.11,7.07,1.98E-05,4.27,5.77E+02
472,EBZMUCNO3,CCC(=O)C(C(C1C(C=O)O1)O)ON(=O)=O,,C8H11NO7,233.18,EBENZ,2,8,11,1,7,0,0,0,27,0.88,-0.25,0,1,1,1,0,0,1,0,1,0,0,0,5,2.17,8.15,1.51,1.49,0.19,1.18,9.8,12.52,10.59,11.68,9.75,7.62,2.39E-06,0.81,1.35E+03
473,T124NCTOOH,CC1=C(C(C2(C)C(C)(C1(N(=O)=O)OO2)O)(O)OO)O,,C9H13NO9,279.2,TM124B,3,9,13,1,9,0,0,0,32,1,0,0,3,0,0,0,0,0,1,0,0,0,2,6,2.07,9.12,1.7,2.38,1.15,1.69,13.6,20.61,13.61,12.91,11.99,10.22,2.87E-07,0.04,2.83E+01
474,PBZOBPEROH,CCCC12C=CC(=O)C(C1O)OO2,,C9H12O4,184.19,PBENZ,1,9,12,0,4,0,0,0,25,0.44,-0.44,0,1,0,1,0,0,0,0,0,0,0,1,3,1.36,6.66,1.31,1.3,0.19,1.13,7.5,9.71,7.28,6.12,9.16,8.15,5.09E-06,1.49,1.85E+02
475,MC5COOHOOH,CC(=O)C(C)(C(C=O)O)OO,,C6H10O5,162.14,UNKNOWN,N/A,6,10,0,5,0,0,0,21,0.83,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1.57,5.35,1.16,1.55,0.4,0.84,7.6,11.91,8.24,10.16,7.04,6.3,7.29E-04,1.36,9.29E+01
476,MMALNACO3H,CC(C=O)(C(C(=O)OO)O)ON(=O)=O,,C5H7NO8,209.11,C5H8,3,5,7,1,8,0,0,0,21,1.6,0.8,0,1,1,0,0,0,0,0,1,0,1,0,4,1.88,6.08,1.25,1.49,0.4,0.84,8.5,12.35,9.52,9.69,8.08,6.28,1.56E-03,0.06,4.50E+01
477,C727PAN,CC(=O)CCC(C(=O)C)C(=O)OON(=O)=O,,C8H11NO7,233.18,LIMONENE,3,8,11,1,7,0,0,0,27,0.88,-0.25,0,0,0,2,0,0,0,0,0,1,0,0,3,2.13,7.33,1.57,1.14,0,0.68,8.6,9.31,9.61,9.22,7.55,3.99,5.21E-04,0.58,2.62E+04
478,DNIPBNZOL,CC(C)c1cc(cc(c1O)N(=O)=O)N(=O)=O,,C9H10N2O5,226.19,IPBENZ,3,9,10,2,5,0,0,0,26,0.56,-1.11,1,1,0,0,0,0,0,2,0,0,0,0,3,1.74,7.6,1.55,0.48,0.28,1.26,8.8,6.43,10.52,6.94,8.18,3.53,1.14E-04,0.64,3.45E+05
479,DETLBIPNO3,CCC1=CC2(CC)C(C(C)(C1ON(=O)=O)OO2)O,,C11H17NO6,259.26,DIET35TOL,1,11,17,1,6,0,0,0,35,0.55,-0.91,0,1,0,0,0,0,0,0,1,0,0,1,3,1.32,8.17,1.81,1.19,0.19,1.06,8.8,8.57,9.65,6.87,8.78,5,2.07E-05,0.87,6.42E+04
480,PXYMUCOH,CC(=O)C(C(C1(C)C(C=O)O1)O)O,,C8H12O5,188.18,PXYL,2,8,12,0,5,0,0,0,25,0.63,-0.25,0,2,1,1,0,0,1,0,0,0,0,0,5,1.66,6.28,1.33,1.55,0.36,1.05,8.3,11.97,9.48,12.09,8.32,7.42,2.81E-05,1.85,1.83E+02
481,HEPTNO3,CCCCC(CC)ON(=O)=O,,C7H15NO3,161.2,UNKNOWN,N/A,7,15,1,3,0,0,0,26,0.43,-2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.75,4.81,1.33,0.2,0,0.19,4.6,1.11,5.07,1.18,4.53,-0.15,1.72E-01,1.88,1.08E+06
482,C92OOH,CCCCC(CC(=O)C(C)OO)O,,C9H18O4,190.24,UNKNOWN,N/A,9,18,0,4,0,0,0,31,0.44,-1.11,0,1,0,1,0,0,0,0,0,0,0,1,3,1.36,6.75,1.57,1.17,0.63,0.67,9.1,10.1,9.31,8.84,9.27,7.72,2.97E-06,2,8.51E+02
483,BOXPROOOH,CCCC(OCC(=O)C)OO,,C7H14O4,162.18,BOX2PROL,2,7,14,0,4,0,0,0,25,0.57,-0.86,0,0,0,1,0,0,1,0,0,0,0,1,3,1.25,5.4,1.29,1.08,0.31,0.5,6.9,8.23,6.75,7.18,7.6,5.84,2.51E-04,1.08,7.76E+02
484,C6NO324CO,CCC(=O)CC(=O)CON(=O)=O,,C6H9NO5,175.14,HEX1ENE,2,6,9,1,5,0,0,0,21,0.83,-0.67,0,0,0,2,0,0,0,0,1,0,0,0,3,1.74,5.84,1.22,0.78,0,0.61,6.7,6.84,7.94,7.41,6.93,4.02,1.49E-03,0.86,8.51E+03
485,TM124MUCCO,CC(=O)C(C(=O)C1(C)C(C)(C=O)O1)O,,C9H12O5,200.19,TM124B,2,9,12,0,5,0,0,0,26,0.56,-0.22,0,1,1,2,0,0,1,0,0,0,0,0,5,1.77,6.24,1.43,1.51,0.1,0.97,7.8,10.71,8.46,10.37,8.46,6.55,2.99E-05,1.27,1.27E+03
486,SBUACEONE,CC(=O)C(C)OC(=O)C,,C6H10O3,130.14,SBUTACET,1,6,10,0,3,0,0,0,19,0.5,-0.67,0,0,0,1,0,1,0,0,0,0,0,0,2,1.06,3.93,1.04,0.7,0,0.29,4.4,4.57,5.1,4.9,5.63,4.68,3.34E-02,0.77,8.38E+01
487,DIBRET,C(CBr)Br,,C2H4Br2,187.86,DIBRET,0,2,4,0,0,0,0,2,8,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.64,3.43,0.74,0.1,0,0.74,3,1.17,3.95,2.04,4.51,2.02,3.92E-01,0.88,3.24E+03
488,HEX3ONDOH,CCCC(=O)CCO,,C6H12O2,116.16,UNKNOWN,N/A,6,12,0,2,0,0,0,20,0.33,-1.33,0,1,0,1,0,0,0,0,0,0,0,0,2,0.96,4.28,1.03,0.62,0.31,0.41,5.4,5.37,5.96,5.8,5.46,5.08,3.60E-02,1.05,3.10E+01
489,C928CO3H,CC(=O)CCC(=O)C(C)(C)CC(=O)OO,,C10H16O5,216.23,BCARY,2,10,16,0,5,0,0,0,31,0.5,-0.6,0,0,0,2,0,0,0,0,0,0,1,0,3,1.79,7.24,1.68,1.3,0.31,0.67,9.2,10.34,9.53,9.55,8.72,6.6,1.74E-05,1.2,1.92E+03
490,ACBUONBOOH,CCC(=O)C(OC(=O)C)OO,,C6H10O5,162.14,NBUTACET,2,6,10,0,5,0,0,0,21,0.83,0,0,0,0,1,0,1,0,0,0,0,0,1,3,1.49,5.15,1.16,1.19,0.31,0.53,7,9.45,6.89,6.78,6.81,5.43,2.11E-03,0.8,2.39E+02
491,C828PAN,CC(=O)CC(=O)C(=O)C(C)(C)C(=O)OON(=O)=O,,C9H11NO8,261.19,BCARY,3,9,11,1,8,0,0,0,29,0.89,0,0,0,0,3,0,0,0,0,0,1,0,0,4,2.58,8.31,1.73,1.46,0,0.87,10,11.94,10.13,10.44,8.11,3.44,1.62E-04,0.52,3.01E+05
492,C830CO,CC1(C)CC(=O)C1CC=O,,C8H12O2,140.18,BCARY,2,8,12,0,2,0,0,0,22,0.25,-1,0,0,1,1,0,0,0,0,0,0,0,0,2,1.25,5.11,1.16,0.68,0,0.65,5.5,5.15,6.13,5.96,6.47,5.56,4.57E-03,0.81,8.00E+01
493,ME2BUT1ENE,CCC(=C)C,,C5H10,70.13,ME2BUT1ENE,0,5,10,0,0,0,0,0,15,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,2.04,0.77,0.11,0,0.1,1.6,-0.44,1.8,-0.96,1.93,-0.68,8.14E+01,1.56,7.88E+03
494,CO23C4CO3H,CC(=O)C(=O)CC(=O)OO,,C5H6O5,146.1,UNKNOWN,N/A,5,6,0,5,0,0,0,16,1,0.8,0,0,0,2,0,0,0,0,0,0,1,0,3,1.84,5.1,0.98,1.25,0.31,0.69,7.3,10.88,7.29,9.03,6.36,5.07,7.39E-03,0.64,1.52E+02
495,C5NO3OAOOH,CC(CC(=O)CON(=O)=O)OO,,C5H9NO6,179.13,UNKNOWN,N/A,5,9,1,6,0,0,0,21,1.2,-0.4,0,0,0,1,0,0,0,0,1,0,0,1,3,1.66,5.74,1.18,0.99,0.31,0.65,7.5,9,9.2,9.1,8.31,6.43,8.21E-05,0.65,6.05E+02
496,C734OH,CC(=O)C(CC(C(=O)O)O)CO,,C7H12O5,176.17,LIMONENE,2,7,12,0,5,0,0,0,24,0.71,-0.29,0,2,0,1,1,0,0,0,0,0,0,0,4,1.42,5.85,1.3,1.28,1.06,0.72,9.7,12.65,11.22,14.32,9.45,10.02,8.71E-07,4.43,1.48E+01
497,CH2BROH,C(Br)O,,CH3BrO,110.94,UNKNOWN,N/A,1,3,0,1,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.67,2.31,0.48,0.3,0.43,0.51,3.5,3.99,4,4.88,5.71,5.78,1.85E-01,0.12,1.21E+00
498,BOXMOOH,CCCCOCOO,,C5H12O3,120.15,UNKNOWN,N/A,5,12,0,3,0,0,0,20,0.6,-1.2,0,0,0,0,0,0,1,0,0,0,0,1,2,0.77,3.82,0.99,0.74,0.31,0.28,4.9,5.48,5.56,4.68,5.72,4.59,1.62E-02,1.28,2.10E+02
499,HMVKNO3,C(C(=O)C(CO)ON(=O)=O)O,,C4H7NO6,165.1,C5H8,2,4,7,1,6,0,0,0,18,1.5,0,0,2,0,1,0,0,0,0,1,0,0,0,4,1.49,5.17,1.04,1.14,0.4,0.78,7.1,9.86,9.38,10.92,7.44,6.74,2.40E-04,1.64,1.01E+02
500,PHGLYOX,c1ccc(cc1)C(=O)C=O,,C8H6O2,134.13,IPBENZ,2,8,6,0,2,0,0,0,16,0.25,-0.25,1,0,1,1,0,0,0,0,0,0,0,0,2,1.68,5.47,1.03,0.71,0,1.02,6.2,6.65,5.93,5.33,5.68,3.29,2.10E-02,1.08,3.23E+03
501,ACETETCHO,CC(=O)OCC=O,,C4H6O3,102.09,UNKNOWN,N/A,4,6,0,3,0,0,0,13,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1.13,3.2,0.76,0.65,0,0.3,3.8,4.78,5.11,5.63,4.96,4.61,7.54E-02,1.57,4.34E+01
502,PHENOH,C1=CC(C2C(C1OO2)O)(O)O,,C6H8O5,160.12,UNKNOWN,N/A,6,8,0,5,0,0,0,19,0.83,0.33,0,3,0,0,0,0,0,0,0,0,0,1,4,1.34,6.11,0.99,1.64,0.75,1.36,8.7,14.12,8.68,12.03,9.67,11.46,2.09E-07,11.35,2.22E+00
503,PHENOL,c1ccc(cc1)O,,C6H6O,94.11,UNKNOWN,N/A,6,6,0,1,0,0,0,13,0.17,-0.67,1,1,0,0,0,0,0,0,0,0,0,0,1,0.9,3.78,0.78,0.39,0.5,0.78,5.2,5.18,5.86,4.41,6.03,4.93,3.22E-02,0.32,4.92E+01
504,NEBNZ1OOH,CCc1cccc(c1OO)N(=O)=O,,C8H9NO4,183.16,EBENZ,3,8,9,1,4,0,0,0,22,0.5,-0.75,1,0,0,0,0,0,0,1,0,0,0,1,2,1.57,6.6,1.29,0.7,0.31,1.12,7.9,7.49,8.9,7.07,7.01,3.61,1.34E-03,0.8,2.45E+04
505,INB1NACO2H,CC(CO)(C(C(=O)O)ON(=O)=O)ON(=O)=O,,C5H8N2O9,240.13,UNKNOWN,N/A,5,8,2,9,0,0,0,24,1.8,0,0,1,0,0,1,0,0,0,2,0,0,0,4,1.89,7.22,1.41,1.06,0.8,0.78,10.4,11.86,11.35,10.09,9.19,6.63,6.62E-05,0.11,4.77E+02
506,C141CO,C=C(CC=O)C1CC(C)(C)C1CCC(=O)C,,C14H22O2,222.32,BCARY,1,14,22,0,2,0,0,0,38,0.14,-1.29,0,0,1,1,0,0,0,0,0,0,0,0,2,1.26,7.76,1.96,0.79,0,0.75,7.9,5.05,8.22,5.58,8.83,6.23,1.97E-05,0.83,3.98E+03
507,NPRACAOH,CC(COC(=O)C)O,,C5H10O3,118.13,NPROACET,1,5,10,0,3,0,0,0,18,0.6,-0.8,0,1,0,0,0,1,0,0,0,0,0,0,2,0.78,3.67,0.95,0.77,0.23,0.31,4.5,5.38,5.72,5.88,5.63,5.74,1.45E-02,1.77,1.69E+01
508,MGLYOX,CC(=O)C=O,,C3H4O2,72.06,UNKNOWN,N/A,3,4,0,2,0,0,0,9,0.67,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1.22,2.79,0.56,0.62,0,0.45,3.5,5.11,3.35,4.5,2.64,1.84,2.64E+01,0.96,7.23E+01
509,CL12PRCHO,C(C(C=O)Cl)Cl,,C3H4Cl2O,126.97,CL12PROP,1,3,4,0,1,2,0,0,10,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.02,3.53,0.79,0.42,0,0.62,3.8,3.48,4.67,3.92,4.77,3.12,2.41E-01,0.8,4.17E+02
510,C7M15CO2OH,CC(C)C(=O)C=CC(C=O)O,,C8H12O3,156.18,IPBENZ,2,8,12,0,3,0,0,0,23,0.38,-0.75,0,1,1,1,0,0,0,0,0,0,0,0,3,1.36,5.24,1.28,1.03,0.17,0.74,6.5,7.57,7.44,7.86,7.4,6.18,2.84E-04,1.53,3.11E+02
511,PXYQOOH,CC1=CC(=O)C(C)(C(C1=O)O)OO,,C8H10O5,186.16,PXYL,3,8,10,0,5,0,0,0,23,0.63,0,0,1,0,2,0,0,0,0,0,0,0,1,4,1.65,6.34,1.29,1.63,0.4,1.16,8.5,12.66,11.42,12,9.86,9.76,5.09E-07,2.96,4.56E+01
512,C118OH,CC(C)(CC(=O)C(=O)CCO)C(CC=O)O,,C11H18O5,230.26,BCARY,3,11,18,0,5,0,0,0,34,0.45,-0.73,0,2,1,2,0,0,0,0,0,0,0,0,5,2.21,8.69,1.82,1.57,0.63,1.05,11.8,14.17,11.36,13.93,9.31,8.84,2.55E-06,2.11,7.65E+01
513,C626PAN,CC(=O)C(CC=O)CC(=O)OON(=O)=O,,C7H9NO7,219.15,LIMONENE,3,7,9,1,7,0,0,0,24,1,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2.18,6.97,1.43,1.12,0,0.7,8.3,9.48,9.61,9.68,7.8,4.57,2.39E-04,0.73,1.51E+04
514,EBZOBPEROH,CCC12C=CC(=O)C(C1O)OO2,,C8H10O4,170.16,EBENZ,1,8,10,0,4,0,0,0,22,0.5,-0.25,0,1,0,1,0,0,0,0,0,0,0,1,3,1.36,6.16,1.17,1.3,0.19,1.13,7.1,9.82,6.94,6.3,9.47,9.16,1.93E-06,1.94,4.83E+01
515,IPBZOLOOH,CC(C)C12C=CC(C(C1O)OO2)(O)OO,,C9H14O6,218.2,IPBENZ,2,9,14,0,6,0,0,0,29,0.67,-0.22,0,2,0,0,0,0,0,0,0,0,0,2,4,1.46,7.61,1.47,1.87,0.77,1.37,10.3,15.15,10.07,11.07,10.5,9.93,4.31E-07,0.8,3.65E+01
516,C6M5CO2OH,CC(=O)C=CC(C)(C=O)O,,C7H10O3,142.15,PXYL,2,7,10,0,3,0,0,0,20,0.43,-0.57,0,1,1,1,0,0,0,0,0,0,0,0,3,1.32,4.64,1.14,1.01,0.17,0.71,5.9,7.44,6.96,7.72,6.97,6.45,7.09E-04,1.66,6.76E+01
517,C823NO3,C=C(C)C(CCC(=O)O)CON(=O)=O,,C8H13NO5,203.19,LIMONENE,1,8,13,1,5,0,0,0,27,0.63,-1,0,0,0,0,1,0,0,0,1,0,0,0,2,1.19,6.21,1.5,0.6,0.57,0.46,8.1,6.5,9.38,7.73,8.7,6.06,3.24E-05,0.68,3.57E+03
518,C1213CO,CC(C)(CC(=O)C(=O)CCO)C(=O)CCC(=O)O,,C12H18O6,258.27,BCARY,3,12,18,0,6,0,0,0,36,0.5,-0.5,0,1,0,3,1,0,0,0,0,0,0,0,5,2.34,9.42,1.98,1.61,0.88,0.98,13.3,15.56,13.52,15.9,12.47,12.71,4.95E-10,7.52,5.37E+01
519,H3M3C4CO3H,CCC(C)(CC(=O)OO)O,,C6H12O4,148.16,M3HEX,2,6,12,0,4,0,0,0,22,0.67,-0.67,0,1,0,0,0,0,0,0,0,0,1,0,2,1.07,4.69,1.15,0.96,0.63,0.45,7,8.48,7.36,7.99,5.83,4.15,1.12E-02,1.45,8.50E+02
520,NTM124LOOH,CC1=C(C)C(C2(C)C(C1OO2)ON(=O)=O)(O)OO,,C9H13NO8,263.2,TM124B,2,9,13,1,8,0,0,0,31,0.89,-0.22,0,1,0,0,0,0,0,0,1,0,0,2,4,1.71,8.21,1.64,1.64,0.54,1.26,10.4,13.43,10.65,9.49,9.81,6.91,4.91E-06,0.34,3.36E+03
521,C65OH4NO3,CCCC(C(C)O)ON(=O)=O,,C6H13NO4,163.17,UNKNOWN,N/A,6,13,1,4,0,0,0,24,0.67,-1.67,0,1,0,0,0,0,0,0,1,0,0,0,2,0.94,5.13,1.25,0.6,0.23,0.45,5.8,4.81,6.85,5.32,5.84,3.12,1.18E-02,1.33,8.59E+03
522,C6CO2OHOOH,CC(=O)C(C(C)(C=O)OO)O,,C6H10O5,162.14,UNKNOWN,N/A,6,10,0,5,0,0,0,21,0.83,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1.57,5.35,1.16,1.55,0.4,0.84,7.6,11.91,8.14,9.9,6.52,5.47,2.69E-03,1.21,1.67E+02
523,OXYQCO,CC1=C(C)C(=O)C(=O)C(C1=O)O,,C8H8O4,168.15,OXYL,3,8,8,0,4,0,0,0,20,0.5,0,0,1,0,3,0,0,0,0,0,0,0,0,4,1.68,5.62,1.19,1.33,0.1,1.05,7,9.91,11.62,13.17,9.32,8.64,2.46E-06,2.12,1.24E+02
524,HO13C5NO3,CC(C(CCO)O)ON(=O)=O,,C5H11NO5,165.14,UNKNOWN,N/A,5,11,1,5,0,0,0,22,1,-1.2,0,2,0,0,0,0,0,0,1,0,0,0,3,1.21,5.48,1.16,0.87,0.54,0.65,7.4,8.3,8.83,9.11,7.62,6.58,8.46E-05,3.1,4.19E+02
525,DIETETNO3,CCOC(C)ON(=O)=O,,C4H9NO4,135.12,DIETETHER,1,4,9,1,4,0,0,0,18,1,-1.5,0,0,0,0,0,0,1,0,1,0,0,0,2,0.89,3.7,0.96,0.41,0,0.24,3.9,2.82,4.32,2,4.12,1.24,8.91E-01,0.92,8.58E+03
526,NC4CO3H,CC(=CC(=O)OO)CON(=O)=O,,C5H7NO6,177.11,C5H8,2,5,7,1,6,0,0,0,19,1.2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1.46,5.25,1.14,0.85,0.31,0.59,6.8,7.75,8.54,7.04,6.26,2.61,1.85E-02,0.32,1.78E+04
527,HO14MC5,CC(CC(C)O)CO,,C6H14O2,118.17,M2PE,1,6,14,0,2,0,0,0,22,0.33,-1.67,0,2,0,0,0,0,0,0,0,0,0,0,2,0.7,4.18,1.07,0.65,0.63,0.42,6,6.09,6.46,6.98,6.47,6.99,2.22E-04,16.79,6.18E+01
528,C8BCCO,CC1(C)C2CC1C(=O)C2,,C8H12O,124.18,BPINENE,2,8,12,0,1,0,0,0,21,0.13,-1.25,0,0,0,1,0,0,0,0,0,0,0,0,1,0.77,4.44,1.03,0.39,0,0.63,4.2,2.69,4.51,3.36,5.25,3.95,8.61E-02,0.71,1.74E+02
529,C1311NO3,C=C(CCC=O)C1(CC(C)(C)C1CCO)ON(=O)=O,,C13H21NO5,271.31,BCARY,1,13,21,1,5,0,0,0,40,0.38,-1.23,0,1,1,0,0,0,0,0,1,0,0,0,3,1.55,8.88,2.1,0.9,0.31,0.9,10,7.6,11.64,8.54,10.05,7.4,4.66E-07,2.09,1.16E+04
530,C133OH,CC(=O)CCC(C(C)(C)CC(=O)C(=O)CCO)O,,C13H22O5,258.31,BCARY,3,13,22,0,5,0,0,0,40,0.38,-0.92,0,2,0,3,0,0,0,0,0,0,0,0,5,2.16,9.54,2.1,1.59,0.63,1.02,12.5,13.89,12.13,14.16,9.49,8.33,2.81E-06,1.27,2.25E+02
