,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
380,OS(=O)(=O)CC(=O)C1=CC=C(C=C1)C(=O)CS(O)(=O)=O,10,10,0,8,2,"322,3162",,"1,85591E-07",,"507,53","355,271"
381,OS(=O)(=O)CC(=O)C1=CC=CC(=C1)C(=O)CS(O)(=O)=O,10,10,0,8,2,"322,3162",,"1,85591E-07",,,
382,CC1=CC2=C(OCCSC2)C=C1,10,12,0,1,1,"180,2702",,"28617,88372",,"338,05","236,635"
383,C[S+](C)CC(=O)C1=CC=CC=C1,10,12,0,1,1,"180,2702",,"63444,39307",,"308,27","215,789"
384,CCCSC(=O)C1=CC=CC=C1,10,12,0,1,1,"180,2702",,"39676,99811",,"317,57","222,299"
385,CC(=O)CCSC1=CC=CC=C1,10,12,0,1,1,"180,2702",,"39676,99811",,"317,57","222,299"
386,O=S1(=O)CCCCC2=CC=CC=C12,10,12,0,2,1,"196,2696",,"1542,046434",,"367,42","257,194"
387,OC(=O)CCSCC1=CC=CC=C1,10,12,0,2,1,"196,2696",,"467,8949112",,"378,69","265,083"
388,OC(=O)CCSCC1=CC=CC=C1,10,12,0,2,1,"196,2696",,"467,8949112",,,
389,CC1=CC(=C(C)C=C1)[CH](S)C(O)=O,10,12,0,2,1,"196,2696",,"424,5908675",,"382,71","267,897"
390,CCS(=O)(=O)C=CC1=CC=CC=C1,10,12,0,2,1,"196,2696",,"2249,69788",,"358,99","251,293"
391,CC(=O)CCSC1=CC=C(O)C=C1,10,12,0,2,1,"196,2696",,"355,9381153",,"373,35","261,345"
392,CC[C]1(O[C]1(C)C2=CC=CS2)C(O)=O,10,12,0,3,1,"212,269",,"408,9414748",,"394,83","276,381"
393,O[C]1(CCC2=C(C1)C=CC=C2)S(O)(=O)=O,10,12,0,4,1,"228,2684",,"0,05662892",,"423,91","296,737"
394,C[CH](CS(O)(=O)=O)C(=O)C1=CC=CC=C1,10,12,0,4,1,"228,2684",,"0,601912598",,"405,9","284,13"
395,CCOC(=O)C1=CC=C(C=C1)S(C)(=O)=O,10,12,0,4,1,"228,2684",,"378,3450615",,"383,71","268,597"
396,CCCOC(=O)[CH](C(O)=O)C1=CC=CS1,10,12,0,4,1,"228,2684",,"148,6355599",,"397,95","278,565"
397,CC1(C2=CC=CC=C2)S(=O)(=O)CCS1(=O)=O,10,12,0,4,2,"260,3344",,"8,615852048",,"425,39","297,773"
398,CCOC(=O)[CH](C1=CC=CC=C1)S(O)(=O)=O,10,12,0,5,1,"244,2678",,"0,513966173",,"405,53","283,871"
399,C[S+](C)CCOC1=CC=CC=C1,10,14,0,1,1,"182,286",,"175589,2421",,"289,96","202,972"
400,C[CH]1CCO[C](C)(O1)C2=CC=CS2,10,14,0,2,1,"198,2854",,"28063,25513",,"343,39","240,373"
401,CCCCS(=O)(=O)C1=CC=CC=C1,10,14,0,2,1,"198,2854",,"2763,643756",,"360,29","252,203"
402,CCC[CH](CC1=CC=CS1)C(O)=O,10,14,0,2,1,"198,2854",,"998,7531102",,"375,34","262,738"
403,CCCCOS(=O)(=O)C1=CC=CC=C1,10,14,0,3,1,"214,2848",,"1210,799473",,"366,95","256,865"
404,CCCOS(=O)(=O)C1=CC=C(C)C=C1,10,14,0,3,1,"214,2848",,"5581,209001",,"371,12","259,784"
405,CC(C)C1=C(O)C=C(C)C(=C1)S(O)(=O)=O,10,14,0,4,1,"230,2842",,"0,167297507",,"424,36","297,052"
406,C=CCOC(=O)CSCC(=O)OCC=C,10,14,0,4,1,"230,2842",,"94058,37596",,"253,61","177,527"
407,CC(C)(O)[CH](C1=CC=CC=C1)S(O)(=O)=O,10,14,0,4,1,"230,2842",,"0,245369676",,"409,24","286,468"
408,CC1=CC=C(C=C1)S(=O)(=O)CCS(C)(=O)=O,10,14,0,4,2,"262,3502",,"7,609598151",,"421,46","295,022"
409,CC(=O)C(SSC(C(C)=O)C(C)=O)C(C)=O,10,14,0,4,2,"262,3502",,"110,4027042",,"394,06","275,842"
410,OS(=O)(=O)CCCCS(=O)(=O)C1=CC=CC=C1,10,14,0,5,2,"278,3496",,"0,00220191",,"455,41","318,787"
411,CC(=O)SCC[CH]1CCC=CC1,10,16,0,1,1,"184,3018",,"93625,27996",,"305,22","213,654"
412,CC1(C)[CH]2CC[C]1(CS(O)(=O)=O)C(=O)C2,10,16,0,4,1,"232,3",,"0,206264606","468,15","414,1","327,705"
413,CC1(C)[CH]2CC[C]1(CS(O)(=O)=O)C(=O)C2,10,16,0,4,1,"232,3",,"0,206264606",,,
414,OC(=O)CSC1(CCCCC1)SCC(O)=O,10,16,0,4,2,"264,366",,"0,722704686",,451,"315,7"
415,CC1(C)O[CH]2[CH]3OC[CH](O3)[CH](OS(C)(=O)=O)[CH]2O1,10,16,0,7,1,"280,2982",,"80,69853472",,"405,14","283,598"
416,O[CH]1CCC[CH]1S[CH]2CCC[CH]2O,10,18,0,2,1,"202,317",,"22,42803139",,"362,56","253,792"
417,CCCCOC(=S)SSC(=S)OCCCC,10,18,0,2,4,"298,515",,"21,20467635",,"407,63","285,341"
418,OC(=O)CCCCSCCCCC(O)=O,10,18,0,4,1,"234,3158",,"8,196085668",,"422,92","296,044"
419,CCOC(=O)CCSCCC(=O)OCC,10,18,0,4,1,"234,3158",,"83726,16744",,"256,07","179,249"
420,CCOC(=O)[CH](C)SS[CH](C)C(=O)OCC,10,18,0,4,2,"266,3818",,"25802,90554",,"265,71","185,997"
421,CCOC(=O)CCS(=O)(=O)CCC(=O)OCC,10,18,0,6,1,"266,3146",,"2622,63362",,"319,23","223,461"
422,C=CCS(=O)(=O)OCCCCOS(=O)(=O)CC=C,10,18,0,6,2,"298,3806",,"5,025814775",,"425,53","297,871"
423,CCCCC(C)(C)SCCC(O)=O,10,20,0,2,1,"204,3328",,"3859,550795",,"359,09","251,363"
424,CCSCCCOC(=O)CCSCC,10,20,0,2,2,"236,3988",,"9350,270284",,"326,21","228,347"
425,CCCCO[CH]1CC[CH]1S(=O)(=O)CC,10,20,0,3,1,"220,3322",,"4197,326866",,"354,77","248,339"
426,OCCSCCCCCCSCCO,10,22,0,2,2,"238,4146",,"1,004583793",,"384,74","269,318"
427,CCSCCOC(C)OCCSCC,10,22,0,2,2,"238,4146",,"25274,969",,"308,58","216,006"
428,CC(C)(C)COS(=O)OCC(C)(C)C,10,22,0,3,1,"222,348",,"22375,1725",,"338,63","237,041"
