official_source,source_folder,dataset_id,source_dataset,descriptor,model,split,metric,mean,std,splits,outer_splits,seed,descriptors_npz,relative_json_path
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,train,medae,3.777936431336638,0.09978842297947156,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,train,kendall_tau,0.8109799359516618,0.002583408936602094,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,test,mae,15.25128532287456,0.5643054900371413,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,test,rmse,21.85446812834209,0.8578340506178871,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,test,r2,0.5899081375692488,0.03236531379694126,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,test,medae,10.046613290493843,0.7803980688483201,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,test,kendall_tau,0.6140652734094795,0.017116023553286785,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,PhysChem,RF,train,mae,5.09326972740038,0.07171904053427498,5,,1000,../../Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,PhysChem,RF,train,rmse,7.167755993428646,0.08708468918658163,5,,1000,../../Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,PhysChem,RF,train,r2,0.9560070268572568,0.0011325557738801656,5,,1000,../../Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/PhysChem/Denmark_PhysChem_metrics_summaries_RF.json
