P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1204,2050.19889,1045.59152,9.843,6.122,12.049,10.243,8.354,0.121813,0.335672,0.022103,2.979095,0.105871,-1.9948,5.0463,3.6442,6.5364,-0.229327,-6.240305,-0.018277,-0.497342,0.21105,5.742963
P_1205,1977.63273,1018.25268,10.724,6.562,13.094,8.617,8.18,0.124504,0.351823,0.02203,2.842335,0.096235,0.8075,-0.9474,-3.2745,3.5032,-0.238962,-6.502491,-0.012731,-0.346427,0.226231,6.156064
P_1206,2114.68516,1101.69736,10.659,6.529,12.628,9.204,9.387,0.120339,0.347276,0.02085,2.879556,0.100188,1.8933,1.8801,2.1353,3.4175,-0.23501,-6.394934,-0.008241,-0.224238,0.226769,6.170696
P_1207,2782.01008,1447.99813,15.317,8.859,17.645,11.207,8.092,0.116859,0.310374,0.021999,3.221915,0.122964,1.0106,0.8764,-1.5888,2.0769,-0.212234,-5.775168,-0.020198,-0.549627,0.192035,5.225541
P_1208,1826.23286,955.96253,8.662,5.531,10.846,10.067,8.446,0.114085,0.344396,0.018896,2.903633,0.114707,0.1027,-1.5416,-1.8393,2.4021,-0.22049,-5.999839,-0.007464,-0.203095,0.213026,5.796744
P_1209,1766.03956,924.82213,9.763,6.082,12.051,9.117,7.876,0.132316,0.355462,0.024627,2.813237,0.088578,-3.3706,-2.4869,-0.8128,4.2669,-0.24662,-6.710863,-0.020146,-0.548213,0.226473,6.162649
P_1210,1899.72439,991.64863,10.783,6.592,13.063,7.437,8.201,0.127698,0.351753,0.023179,2.842904,0.094982,0.6151,-4.1011,0.2093,4.1522,-0.240216,-6.536599,-0.014612,-0.397599,0.225604,6.139
P_1211,1951.70165,1015.66027,11.295,6.848,13.666,10.217,7.014,0.125969,0.34299,0.023132,2.915538,0.091813,-0.1421,4.2157,2.5014,4.904,-0.243384,-6.622826,-0.019264,-0.524207,0.22412,6.098619
P_1212,2148.03106,1129.77345,12.121,7.261,14.301,10.407,7.093,0.113839,0.304214,0.0213,3.287164,0.127853,0.8455,3.5968,1.5262,3.9977,-0.207344,-5.642121,-0.019928,-0.542272,0.187416,5.099849
P_1213,2142.24253,1111.61731,12.676,7.538,14.738,9.338,7.307,0.109979,0.30245,0.019996,3.306334,0.13443,-2.63,-1.404,0.361,3.0031,-0.200767,-5.463149,-0.018062,-0.4915,0.182705,4.971648
